"Repeat","Value","Convergence","pE","alpha","k","a","omega","p","eta","mu","R0"
117,134327.228672329,"Successful completion",0.00858118529077889,0.826154813326173,0.543628172284633,1.292560162041,0.00341187291948594,0.199999699370841,4.55028803479132e-05,0.00207056943883105,2.49850055693021
118,143100.072940679,"Successful completion",2.58359694854598e-10,0.0228391489612987,1.85467534274758e-10,4.33508443906654e-09,0.99990379302585,0.199999999948762,2.68284822053688e-05,0.00238397386373865,4.18906091329567
119,56867.3131774568,"Successful completion",0.000851894709963458,0.85308470670668,0.732079849503763,2.95777329685402,0.071056277156009,0.0176554912534813,3.25657155546144e-05,0.00226445821658181,2.49723131252299
120,68399.5457494568,"Successful completion",8.82548044955876e-05,0.908225481645777,0.999388948604963,3.6577481979265,0.948926924192907,0.0110282982319206,2.68429192291995e-05,0.00238243009276062,2.47671800798197
121,63051.695743964,"Successful completion",0.000272364234249457,0.999473658925337,0.911250560099698,3.4787819604126,0.292019074786983,0.013509705093409,2.79777191049106e-05,0.00236268210335597,2.49112406332976
122,152786.229575975,"Successful completion",0.00972600713826974,0.946849259570012,0.979453787533621,2.64220620464032,0.00376367121146491,0.140484628855092,4.59090261775641e-05,0.00206680277026968,2.49881775969165
123,65196.9095525924,"Successful completion",0.000587609816966331,0.473842483658927,0.239718617779343,0.320089716120635,0.0512195021700464,0.0203180066500136,3.40302500704493e-05,0.00224371027802741,2.49794736789625
124,55584.0715159236,"Successful completion",0.000883296806817626,0.997340206750676,0.942051827341557,3.67436599420062,0.0676758834981514,0.0192449585682813,3.254605755676e-05,0.00227538757260212,2.49707042430985
125,81979.7533763907,"Successful completion",0.000145334188290673,0.988438552733772,0.279431407928042,0.303825111310179,0.664546599223795,0.010008901050454,2.72693110858771e-05,0.0023687621301201,2.4850538421667
126,57544.9230815697,"Successful completion",0.000823539915137234,0.633057848976207,0.715733080781785,2.87051276488428,0.0775789501267752,0.0229945530332299,3.19695807914157e-05,0.0022886868911979,2.49624474162294
127,100550.068399225,"Successful completion",1.51575241879459e-06,0.0120273006096887,0.999619962683352,5.58869612792788,0.946372895722119,0.19303133165238,2.70007036453023e-05,0.0023794922790781,5.84048757967488
128,93488.6379939343,"Successful completion",8.77529401169435e-05,0.0140808146343464,0.985616533474025,3.61471226499165,0.2547077075834,0.198719133152793,2.85253616581413e-05,0.00234569692274669,3.27211883939236
129,92221.2302674518,"Successful completion",0.0035920662938353,0.998089974030784,0.25885999147018,0.044666499571471,0.012823938927604,0.121900196349356,4.05931589217514e-05,0.00212881894829471,2.49648345637125
130,76246.5902862728,"Successful completion",0.00129734701011134,0.824447505695413,0.760010741836142,3.12844337614759,0.0489588498200847,0.0652016485248986,3.2697346859806e-05,0.00225676922952816,2.49298748659367
131,63322.726805903,"Successful completion",0.000999471691848348,0.999945983163104,0.33053985400452,0.973551597738263,0.0536974510180344,0.0146485874030682,3.38789579431954e-05,0.00224006411297076,2.49823017906261
132,65194.1714325307,"Successful completion",0.000791334267285914,0.999987139734714,0.249848554760104,0.370015467037783,0.0606255802811997,0.0134856751957775,3.33733588687697e-05,0.00225007577662029,2.49816045463908
133,66019.2454336473,"Successful completion",0.000766841220925362,0.149193953976144,0.999997697971608,3.71974750881164,0.04397753056567,0.0616281189181313,3.48320696493045e-05,0.00222812175030523,2.49776586060661
134,79502.2368574269,"Successful completion",0.00206601590571881,0.985317017612305,0.991068171956925,3.74928294065136,0.0232684691385232,0.0941242638041912,3.77787835793428e-05,0.00217321302555491,2.4950803722655
135,91354.327689836,"Successful completion",0.00352406798461188,0.998059810508674,0.834794747024937,2.95174545730456,0.00774062077363656,0.0723857377829708,4.15535641026273e-05,0.00211080310055613,2.49873957357789
136,73171.9129754358,"Successful completion",9.40153366128368e-05,0.991961356746552,0.626447683746544,2.4966812646146,0.969122505901464,0.0126358580563361,2.67183089119444e-05,0.00238919126324393,2.47247199667043
137,95198.5889762872,"Successful completion",0.0034386214508423,0.784973733906278,0.999219643572412,3.50509068893129,0.00651614191898716,0.186055252383118,4.1816297600178e-05,0.00211276598326954,2.49735520953066
138,73034.8707938277,"Successful completion",0.00121262172059144,0.999677151994224,0.584866028524891,1.89158186422356,0.0916452127775419,0.0109895993073729,3.25095641861574e-05,0.00225148178544701,2.49773400693943
139,60035.8564351978,"Successful completion",0.00126311907469101,0.998854039302454,0.800457689614161,3.26229653804571,0.0482804841303633,0.0319674812326872,3.47763651676862e-05,0.00221939467525506,2.49652778036952
140,150462.211388184,"Successful completion",0.00999903421778496,0.980279078606653,0.798595823294259,2.14040814919733,0.00318354079723697,0.199826469895681,4.59965221038243e-05,0.00207079951268999,2.49857184912277
141,62029.4061468269,"Successful completion",0.00111966614450542,0.543833814482372,0.548163657352403,2.25999416208613,0.0500853842131529,0.0353736621337721,3.42905765458178e-05,0.00222672914659392,2.49638519211477
142,153846.782353774,"Successful completion",0.00999917463631942,0.484588217507611,0.397086519777669,0.383694317930652,0.00404816817623081,0.199256457124009,4.560747181052e-05,0.00207977192628714,2.49839957958107
143,59895.8812517764,"Successful completion",0.0014042928046273,0.930430870126417,0.840188975311955,3.26411810554491,0.0447215645013271,0.0292287725650174,3.52036893307472e-05,0.002211506998127,2.49708333232299
144,59507.6149295994,"Successful completion",0.000948219338342439,0.962057362750804,0.460793457483422,1.78999406299869,0.0689601362747737,0.0189088458756002,3.27177024883344e-05,0.00226241946665921,2.4970789543814
